scenario,ev,alg,metric,seed,value
turin,vehev1,kapusta2,tl,22737,255.08
turin,vehev1,kapusta2,rt,22737,4931.67
turin,vehev1,kapusta2,ttt,22737,1126.00
turin,vehev1,kapusta2,tl,32668,2055.40
turin,vehev1,kapusta2,rt,32668,9832.88
turin,vehev1,kapusta2,ttt,32668,2938.00
turin,vehev1,no-preemption,tl,30366,5897.39
turin,vehev1,no-preemption,rt,30366,27837.62
turin,vehev1,no-preemption,ttt,30366,6806.00
turin,vehev1,allgreen,tl,6479,1910.48
turin,vehev1,allgreen,rt,6479,10077.21
turin,vehev1,allgreen,ttt,6479,2761.00
turin,vehev1,tpn2,tl,24847,1271.72
turin,vehev1,tpn2,rt,24847,7249.39
turin,vehev1,tpn2,ttt,24847,2033.00
turin,vehev1,allgreen,tl,27226,247.92
turin,vehev1,allgreen,rt,27226,4985.55
turin,vehev1,allgreen,ttt,27226,998.00
turin,vehev1,tpn2,tl,22570,156.21
turin,vehev1,tpn2,rt,22570,4325.64
turin,vehev1,tpn2,ttt,22570,864.00
turin,vehev1,no-preemption,tl,2094,12215.12
turin,vehev1,no-preemption,rt,2094,61183.15
turin,vehev1,no-preemption,ttt,2094,13137.00
turin,vehev1,kapusta2,tl,20276,7093.13
turin,vehev1,kapusta2,rt,20276,35201.04
turin,vehev1,kapusta2,ttt,20276,7918.00
turin,vehev1,tpn2,tl,27548,1865.87
turin,vehev1,tpn2,rt,27548,9295.52
turin,vehev1,tpn2,ttt,27548,2675.00
turin,vehev1,no-preemption,tl,24847,3304.45
turin,vehev1,no-preemption,rt,24847,14273.12
turin,vehev1,no-preemption,ttt,24847,4066.00
turin,vehev1,kapusta2,tl,12811,6916.72
turin,vehev1,kapusta2,rt,12811,33494.64
turin,vehev1,kapusta2,ttt,12811,7740.00
turin,vehev1,no-preemption,tl,10105,7639.96
turin,vehev1,no-preemption,rt,10105,39340.28
turin,vehev1,no-preemption,ttt,10105,8399.00
turin,vehev1,allgreen,tl,32668,2448.07
turin,vehev1,allgreen,rt,32668,11374.67
turin,vehev1,allgreen,ttt,32668,3330.00
turin,vehev1,allgreen,tl,22737,9968.11
turin,vehev1,allgreen,rt,22737,38005.05
turin,vehev1,allgreen,ttt,22737,10838.00
turin,vehev1,kapusta2,tl,22760,2248.80
turin,vehev1,kapusta2,rt,22760,9988.86
turin,vehev1,kapusta2,ttt,22760,2993.00
turin,vehev1,tpn2,tl,32668,548.76
turin,vehev1,tpn2,rt,32668,6279.98
turin,vehev1,tpn2,ttt,32668,1431.00
turin,vehev1,no-preemption,tl,22570,4878.07
turin,vehev1,no-preemption,rt,22570,18760.06
turin,vehev1,no-preemption,ttt,22570,5584.00
turin,vehev1,no-preemption,tl,6479,8259.31
turin,vehev1,no-preemption,rt,6479,38441.13
turin,vehev1,no-preemption,ttt,6479,9110.00
turin,vehev1,tpn2,tl,30366,2252.65
turin,vehev1,tpn2,rt,30366,10705.81
turin,vehev1,tpn2,ttt,30366,3163.00
turin,vehev1,tpn2,tl,2094,264.62
turin,vehev1,tpn2,rt,2094,5318.23
turin,vehev1,tpn2,ttt,2094,1187.00
turin,vehev1,tpn2,tl,22737,1235.38
turin,vehev1,tpn2,rt,22737,7353.57
turin,vehev1,tpn2,ttt,22737,2105.00
turin,vehev1,tpn2,tl,10105,4277.41
turin,vehev1,tpn2,rt,10105,18987.25
turin,vehev1,tpn2,ttt,10105,5036.00
turin,vehev1,no-preemption,tl,17651,7009.38
turin,vehev1,no-preemption,rt,17651,31798.26
turin,vehev1,no-preemption,ttt,17651,7804.00
turin,vehev1,tpn2,tl,11718,3302.27
turin,vehev1,tpn2,rt,11718,14284.92
turin,vehev1,tpn2,ttt,11718,4096.00
turin,vehev1,no-preemption,tl,32668,3942.26
turin,vehev1,no-preemption,rt,32668,17721.06
turin,vehev1,no-preemption,ttt,32668,4825.00
turin,vehev1,kapusta2,tl,31737,436.90
turin,vehev1,kapusta2,rt,31737,5129.96
turin,vehev1,kapusta2,ttt,31737,1212.00
turin,vehev1,allgreen,tl,11718,2699.52
turin,vehev1,allgreen,rt,11718,11563.21
turin,vehev1,allgreen,ttt,11718,3492.00
turin,vehev1,kapusta2,imp,11718,28.480562875467342
turin,vehev1,tpn2,imp,6479,98.67918748660603
turin,vehev1,allgreen,imp,22760,23.45794739479887
turin,vehev1,tpn2,imp,17651,96.42479078035433
turin,vehev1,allgreen,imp,16993,72.49814365972232
turin,vehev1,allgreen,imp,21907,98.6726113929596
turin,vehev1,kapusta2,imp,10105,18.66960036439982
turin,vehev1,allgreen,imp,2094,96.51636660139238
turin,vehev1,kapusta2,imp,6479,82.02016875501707
turin,vehev1,kapusta2,imp,16993,69.98683049161495
turin,vehev1,tpn2,imp,20276,24.379118721221126
turin,vehev1,kapusta2,imp,6325,-34.38327046908538
turin,vehev1,allgreen,imp,27548,66.11424881810288
turin,vehev1,kapusta2,imp,2094,97.32258053952806
turin,vehev1,tpn2,imp,31737,98.9071848884933
turin,vehev1,tpn2,imp,21907,39.64953436117745
turin,vehev1,allgreen,imp,12811,96.50681669969237
turin,vehev1,kapusta2,imp,30366,86.64341344221766
turin,vehev1,tpn2,imp,30616,83.9458036084045
turin,vehev1,kapusta2,imp,24847,-190.865650864743
turin,vehev1,kapusta2,imp,27226,95.11899925519668
turin,vehev1,allgreen,imp,22570,85.62197754439768
turin,vehev1,tpn2,imp,27226,95.26415126278015
