scenario,ev,alg,seed,tl,rt,ttt,eff,imp,teleported
cologne,vehev3,kapusta2,16993,643.93,16735.44,1166.00,522.07,1.4392558197319585,False
cologne,vehev3,allgreen,11718,161.77,14909.50,684.00,522.23,4.896952463373926,False
cologne,vehev1,kapusta2,22760,4857.74,55739.88,5283.00,425.2600000000002,-1.1912853474849978,False
cologne,vehev1,tpn2,32668,7696.45,61334.02,8121.00,424.5500000000002,-1.3927150927758938,False
cologne,vehev3,kapusta2,21907,529.87,16437.71,1052.00,522.13,1.3899447034178194,False
cologne,vehev2,kapusta2,20276,2654.09,46376.40,2969.00,314.90999999999985,1.174587146630295,False
cologne,vehev2,no-preemption,17651,1065.49,33205.51,1381.00,315.51,,False
cologne,vehev3,tpn2,24847,233.98,14982.72,756.00,522.02,3.0605179929908544,False
cologne,vehev2,no-preemption,31737,,21374.52,,,,True
cologne,vehev2,tpn2,24847,307.71,26119.09,623.00,315.29,,False
cologne,vehev3,tpn2,11718,144.74,14873.22,667.00,522.26,5.4731242227442305,False
cologne,vehev3,no-preemption,32668,2304.68,20681.63,2827.00,522.3200000000002,,False
cologne,vehev1,no-preemption,6479,5972.78,57331.07,6398.00,425.22000000000025,,False
cologne,vehev1,tpn2,30366,1680.29,44896.20,2105.00,424.71000000000004,4.0703747567384205,False
cologne,vehev1,tpn2,2094,,60038.52,,,,True
cologne,vehev2,kapusta2,11718,1329.35,36874.63,1644.00,314.6500000000001,,False
cologne,vehev1,tpn2,10105,6603.93,62775.54,7029.00,425.0699999999997,1.6481640477715542,False
cologne,vehev1,no-preemption,17651,7299.11,61646.99,7724.00,424.8900000000003,,False
cologne,vehev2,no-preemption,2094,6272.45,56328.50,6587.00,314.5500000000002,,False
cologne,vehev3,tpn2,21907,77.37,14557.83,600.00,522.63,9.519064236784283,False
cologne,vehev3,kapusta2,24847,532.15,16393.85,1054.00,521.85,1.3456732124401016,False
cologne,vehev3,kapusta2,22760,1014.84,17858.80,1537.00,522.16,-1.1692648024610282,False
cologne,vehev1,tpn2,11718,11913.92,64760.51,12339.00,425.0799999999999,1.8812817275925975,False
cologne,vehev1,no-preemption,32668,5526.22,56733.26,5951.00,424.77999999999975,,False
cologne,vehev3,no-preemption,17651,1344.30,18851.70,1867.00,522.7,,False
cologne,vehev3,allgreen,30366,614.93,17461.47,1137.00,522.07,2.882181711739548,False
cologne,vehev2,no-preemption,6479,2046.85,44863.80,2362.00,315.1500000000001,,False
cologne,vehev1,kapusta2,31737,3412.68,56100.86,3838.00,425.32000000000016,2.09169919242355,False
cologne,vehev3,allgreen,22760,327.07,15641.05,849.00,521.9300000000001,2.6536521233986607,False
cologne,vehev3,allgreen,31737,240.06,16008.07,763.00,522.94,3.110639006914938,False
cologne,vehev1,allgreen,11718,9225.64,63340.72,9651.00,425.3600000000006,2.4294726436323115,False
cologne,vehev3,no-preemption,16993,926.78,17669.46,1449.00,522.22,,False
cologne,vehev3,no-preemption,31737,746.74,17741.12,1269.00,522.26,,False
cologne,vehev3,kapusta2,31737,798.34,17928.46,1321.00,522.66,-1.0691003562150145,False
cologne,vehev3,tpn2,2094,537.14,16992.17,1059.00,521.86,2.7420411810701117,False
cologne,vehev3,no-preemption,21907,736.49,17153.45,1259.00,522.51,,False
