scenario,ev,alg,seed,tl,rt,ttt,eff,imp
od1500k,vehev2,kapusta,2094,15811.47,149243.91,16705.00,893.5300000000007,-18.596728354734026
od1500k,vehev1,kapusta2,30366,2422.61,67704.89,3644.00,1221.3899999999999,-45.36415893626471
od1500k,vehev1,tpn,20276,1810.87,74550.63,3031.00,1220.13,46.36906418996961
od1500k,vehev2,no-preemption,27226,10106.40,110098.32,11001.00,894.6000000000004,
od1500k,vehev2,allgreen,17651,2166.40,64218.89,3061.00,894.5999999999999,65.66104548041092
od1500k,vehev3,no-preemption,30616,2684.50,65872.29,3417.00,732.5,
od1500k,vehev3,no-preemption,4771,1610.26,57291.35,2342.00,731.74,
od1500k,vehev2,no-preemption,30616,16517.69,139414.02,17412.00,894.3100000000013,
od1500k,vehev2,tpn2,32556,343.19,56436.70,1238.00,894.81,96.48365857706975
od1500k,vehev2,allgreen,16993,8618.09,118226.79,9513.00,894.9099999999999,26.45218716690263
od1500k,vehev1,allgreen,32556,2399.29,68192.21,3622.00,1222.71,49.2601419867572
od1500k,vehev3,tpn2,6479,1480.80,48683.71,2213.00,732.2,53.666793909849254
od1500k,vehev2,allgreen,6325,39123.34,342950.17,40018.00,894.6600000000035,-28.70599343036997
od1500k,vehev1,tpn2,30616,376.18,47806.16,1597.00,1220.82,81.47818080659377
od1500k,vehev2,tpn,16993,7823.77,100706.15,8717.00,893.2299999999996,33.231009236477895
od1500k,vehev1,allgreen,16250,124.82,54934.81,1346.00,1221.18,94.1256200525221
od1500k,vehev2,tpn2,2094,11195.75,103972.56,12091.00,895.25,16.02429619273139
od1500k,vehev1,kapusta2,24847,3607.15,89045.35,4828.00,1220.85,20.92496624050788
od1500k,vehev1,tpn2,10280,529.85,56052.86,1752.00,1222.15,83.44508461019322
od1500k,vehev1,no-preemption,20276,3376.54,88291.38,4597.00,1220.46,
od1500k,vehev1,no-preemption,30616,2031.01,68175.33,3252.00,1220.99,
od1500k,vehev1,kapusta2,27226,6521.61,97933.46,7744.00,1222.3900000000003,-35.502711462943346
od1500k,vehev2,kapusta2,2094,15361.05,133274.88,16255.00,893.9500000000007,-15.218273449178788
od1500k,vehev1,allgreen,22570,209.70,51743.56,1429.00,1219.3,85.95313693179534
od1500k,vehev1,tpn,30366,1222.89,51306.30,2443.00,1220.11,26.622784384788
od1500k,vehev3,tpn2,10105,237.06,42653.58,969.00,731.94,81.0452081301073
od1500k,vehev2,tpn,22760,3107.36,78780.20,4002.00,894.6399999999999,61.22919289454738
od1500k,vehev2,allgreen,22760,88412.34,554631.93,89307.00,894.6600000000035,-1003.1286300530651
od1500k,vehev1,kapusta,12811,1776.13,63934.43,2999.00,1222.87,25.765383956298404
od1500k,vehev1,tpn2,227,252.89,54723.39,1473.00,1220.1100000000001,88.97030281619497
od1500k,vehev3,no-preemption,27226,977.68,50740.09,1709.00,731.32,
od1500k,vehev1,tpn2,27226,3631.29,82052.85,4853.00,1221.71,24.550894471108887
od1500k,vehev1,allgreen,17651,480.80,47528.21,1703.00,1222.2,90.86433499465123
od1500k,vehev1,no-preemption,22737,3732.34,66468.54,4953.00,1220.6599999999999,
od1500k,vehev1,tpn,2094,140.79,55834.96,1361.00,1220.21,93.04414416639905
od1500k,vehev2,no-preemption,32556,9759.86,112054.69,10654.00,894.1399999999994,
od1500k,vehev2,kapusta,30366,1598.87,62151.95,2493.00,894.1300000000001,79.00477978832366
od1500k,vehev2,no-preemption,25029,3700.88,75526.73,4596.00,895.1199999999999,
od1500k,vehev3,tpn,30616,99.48,48140.63,831.00,731.52,96.29428198919724
od1500k,vehev2,tpn2,30366,681.11,52596.57,1576.00,894.89,91.0561493815164
od1500k,vehev2,tpn,20276,5731.26,92343.29,6627.00,895.7399999999998,21.35697319726826
od1500k,vehev3,tpn2,17651,77.41,37596.25,808.00,730.59,96.54356377729853
