scenario,ev,alg,metric,seed,value
od500k,vehev1,allgreen,tl,27548,350.04
od500k,vehev1,allgreen,rt,27548,19228.85
od500k,vehev1,allgreen,ttt,27548,1571.00
od500k,vehev1,no-preemption,tl,10280,1211.34
od500k,vehev1,no-preemption,rt,10280,23121.92
od500k,vehev1,no-preemption,ttt,10280,2433.00
od500k,vehev2,no-preemption,tl,10105,1345.51
od500k,vehev2,no-preemption,rt,10105,17391.39
od500k,vehev2,no-preemption,ttt,10105,2240.00
od500k,vehev3,tpn2,tl,32668,86.17
od500k,vehev3,tpn2,rt,32668,21552.83
od500k,vehev3,tpn2,ttt,32668,819.00
od500k,vehev3,kapusta2,tl,2094,511.46
od500k,vehev3,kapusta2,rt,2094,17114.07
od500k,vehev3,kapusta2,ttt,2094,1243.00
od500k,vehev1,kapusta2,tl,2094,271.44
od500k,vehev1,kapusta2,rt,2094,19530.36
od500k,vehev1,kapusta2,ttt,2094,1493.00
od500k,vehev1,tpn2,tl,31737,179.50
od500k,vehev1,tpn2,rt,31737,13618.24
od500k,vehev1,tpn2,ttt,31737,1400.00
od500k,vehev2,no-preemption,tl,32668,887.30
od500k,vehev2,no-preemption,rt,32668,17560.51
od500k,vehev2,no-preemption,ttt,32668,1782.00
od500k,vehev2,kapusta,tl,22760,541.36
od500k,vehev2,kapusta,rt,22760,16094.65
od500k,vehev2,kapusta,ttt,22760,1437.00
od500k,vehev2,kapusta,tl,16993,290.32
od500k,vehev2,kapusta,rt,16993,15581.53
od500k,vehev2,kapusta,ttt,16993,1185.00
od500k,vehev2,kapusta2,tl,12837,984.44
od500k,vehev2,kapusta2,rt,12837,18659.01
od500k,vehev2,kapusta2,ttt,12837,1878.00
od500k,vehev3,allgreen,tl,16993,104.92
od500k,vehev3,allgreen,rt,16993,21260.58
od500k,vehev3,allgreen,ttt,16993,836.00
od500k,vehev1,tpn2,tl,21907,374.57
od500k,vehev1,tpn2,rt,21907,16339.29
od500k,vehev1,tpn2,ttt,21907,1595.00
od500k,vehev1,kapusta,tl,16993,119.19
od500k,vehev1,kapusta,rt,16993,16574.68
od500k,vehev1,kapusta,ttt,16993,1341.00
od500k,vehev2,allgreen,tl,27548,75.22
od500k,vehev2,allgreen,rt,27548,18213.13
od500k,vehev2,allgreen,ttt,27548,968.00
od500k,vehev3,allgreen,tl,17651,77.61
od500k,vehev3,allgreen,rt,17651,15286.27
od500k,vehev3,allgreen,ttt,17651,809.00
od500k,vehev1,no-preemption,tl,4771,1583.51
od500k,vehev1,no-preemption,rt,4771,22915.52
od500k,vehev1,no-preemption,ttt,4771,2804.00
od500k,vehev2,tpn2,tl,20276,268.09
od500k,vehev2,tpn2,rt,20276,14388.76
od500k,vehev2,tpn2,ttt,20276,1163.00
od500k,vehev3,kapusta2,tl,10105,619.60
od500k,vehev3,kapusta2,rt,10105,16988.77
od500k,vehev3,kapusta2,ttt,10105,1352.00
od500k,vehev1,kapusta2,tl,4771,235.97
od500k,vehev1,kapusta2,rt,4771,19730.26
od500k,vehev1,kapusta2,ttt,4771,1456.00
od500k,vehev3,tpn,tl,10105,179.38
od500k,vehev3,tpn,rt,10105,21159.37
od500k,vehev3,tpn,ttt,10105,910.00
od500k,vehev1,allgreen,tl,12811,101.90
od500k,vehev1,allgreen,rt,12811,16532.50
od500k,vehev1,allgreen,ttt,12811,1323.00
od500k,vehev3,tpn,tl,21907,167.97
od500k,vehev3,tpn,rt,21907,18841.07
od500k,vehev3,tpn,ttt,21907,900.00
od500k,vehev2,kapusta,tl,2094,613.80
od500k,vehev2,kapusta,rt,2094,19713.16
od500k,vehev2,kapusta,ttt,2094,1508.00
od500k,vehev1,kapusta2,tl,30366,539.86
od500k,vehev1,kapusta2,rt,30366,16484.66
od500k,vehev1,kapusta2,ttt,30366,1761.00
od500k,vehev1,tpn,tl,20276,242.60
od500k,vehev1,tpn,rt,20276,22063.18
od500k,vehev1,tpn,ttt,20276,1464.00
od500k,vehev2,no-preemption,tl,27226,1439.10
od500k,vehev2,no-preemption,rt,27226,22917.79
od500k,vehev2,no-preemption,ttt,27226,2335.00
od500k,vehev2,allgreen,tl,17651,102.71
od500k,vehev2,allgreen,rt,17651,16787.44
od500k,vehev2,allgreen,ttt,17651,996.00
od500k,vehev3,no-preemption,tl,30616,975.94
od500k,vehev3,no-preemption,rt,30616,20125.85
od500k,vehev3,no-preemption,ttt,30616,1707.00
od500k,vehev3,no-preemption,tl,4771,976.54
od500k,vehev3,no-preemption,rt,4771,22781.56
od500k,vehev3,no-preemption,ttt,4771,1708.00
od500k,vehev2,no-preemption,tl,30616,1699.34
od500k,vehev2,no-preemption,rt,30616,18945.20
od500k,vehev2,no-preemption,ttt,30616,2594.00
od500k,vehev3,kapusta2,tl,27422,744.98
od500k,vehev3,kapusta2,rt,27422,18107.47
od500k,vehev3,kapusta2,ttt,27422,1476.00
od500k,vehev2,tpn2,tl,32556,200.76
od500k,vehev2,tpn2,rt,32556,17757.97
