scenario,ev,alg,seed,tl,rt,ttt,eff,imp,teleported
turin,vehev3,kapusta2,30366,81.17,13351.95,660.00,578.83,23.068375015399777,False
turin,vehev1,allgreen,30366,2618.48,12359.91,3406.00,787.52,2.337546973816871,False
turin,vehev1,tpn2,16993,301.85,6820.02,1092.00,790.15,7.577273480205399,False
turin,vehev2,tpn2,11718,86.37,13267.57,973.00,886.63,3.450503647099687,False
turin,vehev2,kapusta2,30366,181.22,13699.37,1067.00,885.78,2.323363867122834,False
turin,vehev1,tpn2,12811,2600.11,11851.15,3390.00,789.8899999999999,1.4263665767986737,False
turin,vehev3,no-preemption,12811,2414.77,31763.04,2994.00,579.23,,False
turin,vehev2,allgreen,20276,78.83,14207.72,965.00,886.17,5.281872383610301,False
turin,vehev1,allgreen,31737,3281.91,12671.37,4074.00,792.0900000000001,-1.9210543260028445,False
turin,vehev1,kapusta2,32668,898.26,8444.11,1689.00,790.74,1.3349586979271035,False
turin,vehev1,no-preemption,30366,6120.82,14085.74,6909.00,788.1800000000003,,False
turin,vehev3,allgreen,24847,269.51,15267.24,848.00,578.49,8.438833438462394,False
turin,vehev1,allgreen,6479,175.69,7024.89,965.00,789.31,15.368091524844898,False
turin,vehev2,allgreen,30366,130.83,15036.36,1017.00,886.17,3.2182221203087975,False
turin,vehev3,kapusta2,20276,64.58,13787.26,643.00,578.42,115.15004645401054,False
turin,vehev1,tpn2,24847,4037.93,12877.38,4829.00,791.0700000000002,-1.4834041740293231,False
turin,vehev2,tpn2,21907,87.64,14108.25,974.00,886.36,3.4232085805568233,False
turin,vehev1,no-preemption,2094,1248.39,8842.01,2038.00,789.6099999999999,,False
turin,vehev3,tpn2,31737,191.11,16744.69,770.00,578.89,27.817016378002194,False
turin,vehev3,kapusta2,6479,67.60,13306.43,647.00,579.4,33.56730769230769,False
turin,vehev1,kapusta2,20276,4959.12,13252.60,5748.00,788.8800000000001,-1.3936885059312532,False
turin,vehev3,no-preemption,11718,,14979.95,,,,True
turin,vehev1,no-preemption,24847,2722.07,11983.58,3512.00,789.9299999999998,,False
turin,vehev2,allgreen,30616,97.95,13617.43,984.00,886.05,3.1099540581929555,False
turin,vehev2,kapusta2,31737,306.55,14779.71,1193.00,886.45,1.3296688957755667,False
turin,vehev2,tpn2,31737,157.81,14112.86,1043.00,885.19,2.582916165008555,False
turin,vehev2,kapusta2,24847,205.17,13914.14,1092.00,886.83,1.9404396354242825,False
turin,vehev2,no-preemption,11718,298.02,14398.96,1184.00,885.98,,False
turin,vehev2,no-preemption,16993,424.44,15253.47,1311.00,886.56,,False
turin,vehev2,tpn2,30616,93.13,13323.30,978.00,884.87,3.270911628905831,False
turin,vehev2,no-preemption,21907,300.01,14425.55,1186.00,885.99,,False
turin,vehev2,kapusta2,22760,188.80,13782.52,1075.00,886.2,1.5634533898305085,False
turin,vehev1,kapusta2,12811,4313.45,13251.32,5104.00,790.5500000000002,-1.163059392618997,False
turin,vehev2,tpn2,6479,85.49,13928.61,971.00,885.51,5.999064218037198,False
turin,vehev1,no-preemption,10105,,5820.45,,,,True
turin,vehev2,allgreen,32668,108.98,14056.89,995.00,886.02,3.6704899981648005,False
turin,vehev2,tpn2,12811,86.68,13967.36,972.00,885.3199999999999,4.864097831102907,False
turin,vehev1,allgreen,32668,206.61,6603.90,997.00,790.39,5.803881709500993,False
turin,vehev2,tpn2,32668,110.15,13991.92,997.00,886.85,3.631502496595551,False
turin,vehev2,kapusta2,17651,211.24,13844.82,1098.00,886.76,1.9923783374360915,False
turin,vehev2,tpn2,22760,80.77,13776.47,967.00,886.23,3.654574718336016,False
turin,vehev3,kapusta2,16993,129.81,13578.75,709.00,579.19,15.436561127802172,False
turin,vehev3,allgreen,11718,521.98,16782.48,1100.00,578.02,,False
turin,vehev1,kapusta2,22760,1281.07,8990.88,2070.00,788.9300000000001,6.286143614322403,False
turin,vehev1,tpn2,32668,276.60,6844.36,1067.00,790.4,4.3352856109906,False
turin,vehev3,kapusta2,21907,159.17,16482.46,739.00,579.83,,False
turin,vehev2,kapusta2,20276,147.46,16007.98,1033.00,885.54,2.8236131832361315,False
turin,vehev2,no-preemption,17651,420.87,16234.07,1307.00,886.13,,False
turin,vehev3,tpn2,24847,206.64,14618.97,785.00,578.36,11.006339527680991,False
turin,vehev2,no-preemption,31737,407.61,14660.60,1294.00,886.39,,False
turin,vehev2,tpn2,24847,83.48,15015.61,971.00,887.52,4.769046478198371,False
turin,vehev3,tpn2,11718,312.27,14669.25,892.00,579.73,,False
turin,vehev3,no-preemption,32668,10895.57,36541.12,11475.00,579.4300000000003,,False
turin,vehev1,no-preemption,6479,2700.02,11685.98,3489.00,788.98,,False
turin,vehev1,tpn2,30366,2159.09,12155.64,2947.00,787.9099999999999,2.834907298908336,False
turin,vehev1,tpn2,2094,184.91,7002.82,975.00,790.09,6.751338488994647,False
turin,vehev2,kapusta2,11718,146.74,13679.21,1034.00,887.26,2.030939075916587,False
turin,vehev1,tpn2,10105,277.65,6761.57,1067.00,789.35,,False
turin,vehev1,no-preemption,17651,1863.30,10592.05,2653.00,789.7,,False
turin,vehev2,no-preemption,2094,400.72,14690.76,1287.00,886.28,,False
turin,vehev3,tpn2,21907,181.88,16693.47,760.00,578.12,,False
turin,vehev3,kapusta2,24847,205.44,14282.80,784.00,578.56,11.070628894080997,False
turin,vehev3,kapusta2,22760,179.76,14521.46,759.00,579.24,31.879172229639522,False
turin,vehev1,tpn2,11718,309.17,7292.27,1098.00,788.8299999999999,5.679237959698547,False
turin,vehev1,no-preemption,32668,1199.14,8761.86,1989.00,789.8599999999999,,False
turin,vehev3,no-preemption,17651,2276.77,24154.33,2856.00,579.23,,False
turin,vehev3,allgreen,30366,167.77,13834.02,748.00,580.23,11.160875007450676,False
turin,vehev2,no-preemption,6479,512.86,15488.43,1400.00,887.14,,False
turin,vehev1,kapusta2,31737,3359.25,13224.33,4149.00,789.75,-1.9663250194627688,False
turin,vehev3,allgreen,22760,183.76,14014.65,763.00,579.24,31.185241619503703,False
turin,vehev3,allgreen,31737,208.80,14226.61,787.00,578.2,25.460296934865898,False
turin,vehev1,allgreen,11718,2249.47,12967.56,3039.00,789.5300000000002,-1.281128798018054,False
turin,vehev3,no-preemption,16993,2003.82,24858.68,2584.00,580.1800000000001,,False
turin,vehev3,no-preemption,31737,5316.11,30045.10,5895.00,578.8900000000003,,False
turin,vehev3,kapusta2,31737,167.15,16631.32,747.00,579.85,31.80442716123242,False
turin,vehev3,tpn2,2094,279.34,17455.11,858.00,578.6600000000001,9.06608434166249,False
turin,vehev3,no-preemption,21907,,24444.13,,,,True
